60
-23.37371,21.27769
-5.843425,12.00443
1.6514,5.271791
3.302807,3.620382
20.32497,-0.9527335
33.40916,-4.38257
-18.29247,28.13737
-10.6706,27.62925
-2.667655,24.07237
-0.762189,22.548
6.605615,19.11817
14.7356,14.92614
23.11965,13.02068
30.36042,11.36928
33.02806,10.09896
36.96603,4.00148
38.99852,-1.587889
37.34712,-7.304284
35.31462,-9.844903
26.42245,-12.25849
21.08715,-11.36928
10.54357,-9.33678
0.2540655,-6.669127
-14.22748,-0.06351625
-16.25997,13.40178
-13.21123,16.57755
-6.351556,13.27474
1.016247,9.463809
14.3545,4.636635
27.05761,-0.5716394
15.62482,4.509603
3.429836,10.35303
19.43575,7.17725
24.38996,5.779913
29.09011,4.76366
28.07386,4.636635
15.24372,6.669127
19.30872,-0.1905453
19.05465,-2.096012
29.09011,-4.763664
21.34121,-7.685378
17.02216,-6.288037
9.146233,-2.604136
2.032495,0.06351282
-3.3028,1.587889
-8.51108,5.017726
-0.3810873,8.828653
8.257014,7.812407
11.30576,8.447562
3.556865,16.19646
-9.527327,21.65879
-17.65732,24.07237
-13.46529,19.62629
-3.810931,18.35598
1.778436,18.10192
-2.667655,15.43427
-22.1034,12.89365
-20.19793,9.844906
-13.71935,6.415069
-13.0842,5.90694
